artist,title
Taylor Swift,All Too Well (Taylor's Version)
Adele,Easy On Me
The Kid LAROI & Justin Bieber,Stay
Ed Sheeran,Shivers
Elton John & Dua Lipa,Cold Heart (PNAU Remix)
CKay,Love Nwantiti (Ah Ah Ah)
Lil Nas X & Jack Harlow,Industry Baby
Silk Sonic (Bruno Mars & Anderson .Paak),Smokin Out The Window
Ed Sheeran,Bad Habits
Glass Animals,Heat Waves
Farruko,Pepas
Taylor Swift,State Of Grace (Taylor's Version)
Taylor Swift,Red (Taylor's Version)
Coldplay x BTS,My Universe
Post Malone & The Weeknd,One Right Now
The Weeknd & Ariana Grande,Save Your Tears
Juice WRLD,Already Dead
Billie Eilish,Happier Than Ever
Lisa,Money
Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open
Dua Lipa,Levitating
Taylor Swift Featuring Chris Stapleton,I Bet You Think About Me (Taylor's Version) (From The Vault)
Taylor Swift,I Knew You Were Trouble (Taylor's Version)
Taylor Swift Featuring Ed Sheeran,Run (Taylor's Version) (From The Vault)
Doja Cat,Woman
Amaarae & Moliy Featuring Kali Uchis,Sad Girlz Luv Money
THE ANXIETY: WILLOW & Tyler Cole,Meet Me At Our Spot
Imagine Dragons X JID,Enemy
Doja Cat,Need To Know
Taylor Swift,22 (Taylor's Version)
The Weeknd,Blinding Lights
Mariah Carey,All I Want For Christmas Is You
Taylor Swift Featuring Phoebe Bridgers,Nothing New (Taylor's Version) (From The Vault)
Rosalia Featuring The Weeknd,La Fama
Olivia Rodrigo,Good 4 U
Doja Cat Featuring SZA,Kiss Me More
Maneskin,Beggin'
BTS,Butter
Lil Nas X,Thats What I Want
Swedish House Mafia & The Weeknd,Moth To A Flame
Taylor Swift,We Are Never Ever Getting Back Together (Taylor's Version)
Taylor Swift,Treacherous (Taylor's Version)
Drake Featuring 21 Savage & Project Pat,Knife Talk
Justin Bieber,Ghost
TWICE,The Feels
Taylor Swift,Better Man (Taylor's Version) (From The Vault)
Acraze Featuring Cherish,Do It To It
Drake Featuring Future & Young Thug,Way 2 Sexy
Lil Nas X,Montero (Call Me By Your Name)
Taylor Swift,Message In A Bottle (Taylor's Version) (From The Vault)
Shouse,Love Tonight
TWICE,Scientist
Ed Sheeran,Perfect
Taylor Swift,I Almost Do (Taylor's Version)
Taylor Swift,Enchanted
Ed Sheeran,Overpass Graffiti
"Tainy, Bad Bunny & Julieta Venegas",Lo Siento BB:/
Polo G,Bad Man (Smooth Criminal)
Taylor Swift Featuring Ed Sheeran,Everything Has Changed (Taylor's Version)
NEIKED X Mae Muller X Polo G,Better Days
Taylor Swift Featuring Gary Lightbody Of Snow Patrol,The Last Time (Taylor's Version)
BTS,Dynamite
GAYLE,abcdefu
Bad Bunny,Yonaguni
Lost Frequencies & Calum Scott,Where Are You Now
Taylor Swift,Stay Stay Stay (Taylor's Version)
Travis Scott,Escape Plan
Taylor Swift,The Very First Night (Taylor's Version) (From The Vault)
Walker Hayes,Fancy Like
Justin Bieber Featuring Daniel Caesar & Giveon,Peaches
Taylor Swift,Babe (Taylor's Version) (From The Vault)
Oliver Tree,Life Goes On
Olivia Rodrigo,Traitor
Silk Sonic (Bruno Mars & Anderson .Paak),Blast Off
Doja Cat & The Weeknd,You Right
Taylor Swift,Begin Again (Taylor's Version)
Taylor Swift,Holy Ground (Taylor's Version)
Silk Sonic (Bruno Mars & Anderson .Paak) With Thundercat & Bootsy Collins,After Last Night
Rauw Alejandro,Todo de Ti
Summer Walker & SZA,No Love
Aventura x Bad Bunny,Volvi
BoyWithUke,Toxic
Kanye West,Praise God
Silk Sonic (Bruno Mars & Anderson .Paak),Skate
Wham!,Last Christmas
Adele,Someone Like You
Taylor Swift,Forever Winter (Taylor's Version) (From The Vault)
The Neighbourhood,Sweater Weather
Pinkfong,Baby Shark
Tones And I,Dance Monkey
Ed Sheeran,Shape Of You
Silk Sonic (Bruno Mars & Anderson .Paak),Fly As Me
Taylor Swift,The Lucky One (Taylor's Version)
Taylor Swift,Sad Beautiful Tragic (Taylor's Version)
Taylor Swift,The Moment I Knew (Taylor's Version)
The Weeknd,Take My Breath
Taylor Swift,Come Back...Be Here (Taylor's Version)
Masked Wolf,Astronaut In The Ocean
Lewis Capaldi,Someone You Loved
BTS,Permission To Dance
Adele,Rolling In The Deep
Taylor Swift,Starlight (Taylor's Version)
Silk Sonic (Bruno Mars & Anderson .Paak),Put On A Smile
Imagine Dragons,Believer
Tate McRae,Feel Like Shit
Harry Styles,Watermelon Sugar
Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse)
Drake Featuring Travis Scott,Fair Trade
Adele,When We Were Young
Bad Bunny & Jhay Cortez,Dakiti
24kGoldn Featuring iann dior,Mood
Brenda Lee,Rockin' Around The Christmas Tree
"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",Who Want Smoke??
Olivia Rodrigo,Drivers License
Drake Featuring Lil Baby,Girls Want Girls
Marilia Mendonca & Maiara & Maraisa,Esqueca-Me Se For Capaz
"Rvssian, Rauw Alejandro & Chris Brown",Nostalgico
Taylor Swift,Girl At Home (Taylor's Version)
Dua Lipa,Don't Start Now
Benson Boone,Ghost Town
Tiesto & Karol G,Don't Be Shy
Luke Combs,Doin' This
Bobby Helms,Jingle Bell Rock
Maluma,Sobrio
Tiesto & Ava Max,The Motto
Lady Gaga & Bradley Cooper,Shallow
Marilia Mendonca & Maiara & Maraisa,Todo Mundo Menos Voce
Michael Buble,It's Beginning To Look A Lot Like Christmas
"Joel Corry, Jax Jones, Charli XCX & Saweetie",Out Out
Jason Derulo,Acapulco
Billie Eilish & Khalid,Lovely
Silk Sonic (Bruno Mars & Anderson .Paak),777
Avril Lavigne,Bite Me
The Walters,I Love You So
Maneskin,I Wanna Be Your Slave
Dua Lipa,Love Again
Post Malone,Circles
Adele,Hello
Nio Garcia X J Balvin X Bad Bunny,AM
Wizkid Featuring Justin Bieber & Tems,Essence
TINI & L-Gante,Bar
Taylor Swift,Ronan (Taylor's Version)
Ariana Grande,Santa Tell Me
Doja Cat,Get Into It (Yuh)
"Paulo Pires, MC Danny E Marcynho Sensacao",Ameaca
Wham! Featuring George Michael,Careless Whisper
Travis Scott,Mafia
Queen,Bohemian Rhapsody
Camilo y Evaluna,Indigo
Baby Keem & Kendrick Lamar,Family Ties
"Mora, Bad Bunny & Sech",Volando
J Balvin & Maria Becerra,Que Mas Pues?
Tiesto,The Business
Yuuri,Betelgeuse
Billie Eilish,Bad Guy
Tiago pzk x Trueno,Salimo de Noche
Taylor Swift,Blank Space
Avine Vinny E Matheus Fernandes,Coracao Cachorro
Lewis Capaldi,Before You Go
Fleetwood Mac,Dreams
Sleepy Hallow,2055
zzoilo,Mon Amour
The Chainsmokers Featuring Halsey,Closer
Rauw Alejandro,Curame
Tom Odell,Another Love
Hozier,Take Me To Church
J Balvin & Skrillex,In Da Getto
Coolio Featuring L.V.,Gangsta's Paradise
Adele,Love In The Dark
Jason Aldean & Carrie Underwood,If I Didn't Love You
John Legend,All Of Me
Olivia Rodrigo,Deja Vu
SAINt JHN,Roses
OneRepublic,Counting Stars
Jhay Cortez & Anuel AA,Ley Seca
Silk Sonic (Bruno Mars & Anderson .Paak),Silk Sonic Intro
"DJ Snake, Ozuna, Lisa & Megan Thee Stallion",SG
Travis Scott,Goosebumps
Ed Sheeran,Thinking Out Loud
Marshmello X Jonas Brothers,Leave Before You Love Me
The Kid LAROI,Without You
Taylor Swift,Wildest Dreams (Taylor's Version)
Lisa,Lalisa
The Chainsmokers & Coldplay,Something Just Like This
J. Cole,No Role Modelz
Coldplay,Yellow
The Killers,Mr. Brightside
Ariana Grande,Positions
Eminem,Without Me
Camila Cabello,Don't Go Yet
Lil Nas X Featuring Billy Ray Cyrus,Old Town Road
Jordan Davis Featuring Luke Bryan,Buy Dirt
Steve Lacy,Dark Red
Nirvana,Smells Like Teen Spirit
YOASOBI,Yoru Ni Kakeru
Eslabon Armado Featuring DannyLux,Jugaste y Sufri
Shawn Mendes & Camila Cabello,Senorita
Polo G,Rapstar
Adele,Set Fire To The Rain
James Arthur,Say You Won't Let Go
