id,title,all_artists,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,speechiness
7dS5EaCoMnN7DzlpT6aRn2,Take Me To Church,Hozier,2014-05-20,0.566,0.664,4,-5.303,0,0.634,0.0,0.116,0.437,128.945,241688,4,0.0464
2V4bv1fNWfTcyRJKmej6Sj,Cooler Than Me - Single Mix,Gigamesh,2010-08-09,0.768,0.82,7,-4.63,0,0.179,0.0,0.689,0.625,129.965,213293,4,0.0474
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),Kali Uchis,2017-07-21,0.558,0.559,6,-9.222,1,0.371,7.49e-06,0.109,0.62,78.558,180387,4,0.0959
3gbBpTdY8lnQwqxNCcf795,Pompeii,Bastille,2013-01-01,0.679,0.715,9,-6.383,1,0.0755,0.0,0.271,0.571,127.435,214148,4,0.0407
3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),Wyclef Jean,2005-11-28,0.778,0.824,10,-5.892,0,0.284,0.0,0.405,0.758,100.024,218093,4,0.0707
7wMq5n8mYSKlQIGECKUgTX,Hall of Fame (feat. will.i.am),will.i.am,2012-09-10,0.421,0.873,10,-4.343,1,0.0654,0.0,0.123,0.629,84.786,202533,4,0.0564
78W8wiUIlQ2SnWY9TVowKZ,Back Where I Belong (feat. Avicii),Avicii,2016-06-03,0.497,0.865,0,-3.19,1,0.0306,0.0679,0.443,0.595,125.96,174203,4,0.0644
2jcPoPin36hyNRSi4ZsqeB,The Heart Wants What It Wants,Selena Gomez,2014-01-01,0.616,0.789,7,-4.874,0,0.053,0.0,0.142,0.621,83.066,227373,4,0.0377
2CEgGE6aESpnmtfiZwYlbV,Dynamite,Taio Cruz,2010-01-01,0.751,0.783,4,-3.724,1,0.00379,0.0,0.036,0.816,119.975,202613,4,0.0859
0tBRo4P60DgKmg4jt48upm,Bumpy Ride,Mohombi,2010-01-01,0.709,0.854,0,-4.447,0,0.047,0.0,0.0724,0.826,105.074,224402,4,0.0399
1kAZhbcsXqfUjnVeqPywn2,Danza Kuduro (feat. Don Omar),Don Omar,2011-06-27,0.706,0.89,0,-6.575,1,0.0855,0.0,0.0465,0.896,130.051,202347,4,0.0847
2N2QvMYwyYHE8V4KZbbG4i,Syypää sun hymyyn (feat. Yasmine Yamajako),Yasmine Yamajako,2012-04-04,0.472,0.815,9,-4.002,0,0.171,0.0,0.265,0.81,98.017,230413,4,0.319
0ltBH1JNzSvQJPjJpvTu9B,Whistle,Flo Rida,2012-04-24,0.754,0.933,0,-5.786,1,0.0199,0.0,0.297,0.75,103.992,225000,4,0.0448
5HbCnVLXRyZVxnreOPgJCK,Girlfriend,Avril Lavigne,2007-04-17,0.56,0.959,7,-2.433,1,0.000738,0.000206,0.209,0.67,163.983,216600,4,0.102
4NFhtFE68cXUrfbne8JE2c,Baby,Ludacris,2010-01-01,0.463,0.854,8,-5.386,1,0.0428,0.0,0.0922,0.567,65.038,216520,4,0.32
5HE3z4Ew7wZ91l3ZOpGKa4,I Cry,Flo Rida,2012-06-22,0.693,0.822,4,-5.441,0,0.00616,1.79e-06,0.315,0.763,126.035,223800,4,0.0439
5L9THbmMKB6ZlHlMgzaXHf,Coconut Tree,Nicole Scherzinger,2010-01-01,0.687,0.855,7,-5.341,0,0.0486,0.0,0.233,0.647,130.029,218373,4,0.0416
